****                   MendelIHT Version 1.4.1                  ****
****     Benjamin Chu, Kevin Keys, Chris German, Hua Zhou       ****
****   Jin Zhou, Eric Sobel, Janet Sinsheimer, Kenneth Lange    ****
****                                                            ****
****                 Please cite our paper!                     ****
****         https://doi.org/10.1093/gigascience/giaa044        ****

Initializing β to univariate regression values...
...completed in 206.2 seconds.

Running sparse Multivariate Gaussian regression
Number of threads = 36
Link functin = GLM.IdentityLink()
Sparsity parameter (k) = 197
Prior weight scaling = off
Doubly sparse projection = off
Debias = off
Max IHT iterations = 1500
Converging when tol < 0.0001 and iteration ≥ 10:

Iteration 186: loglikelihood = -176303.0375552123, backtracks = 1, tol = 0.0006489033162615899
Iteration 187: loglikelihood = -176300.92158332685, backtracks = 1, tol = 0.000647635535377612
Iteration 188: loglikelihood = -176298.8126834109, backtracks = 1, tol = 0.0006463711514470324
Iteration 189: loglikelihood = -176296.71083071927, backtracks = 1, tol = 0.0006451101546953772
Iteration 190: loglikelihood = -176294.6160006103, backtracks = 1, tol = 0.0006438525351713629
Iteration 191: loglikelihood = -176292.52816854283, backtracks = 1, tol = 0.0006425982827687979
Iteration 192: loglikelihood = -176290.44731007563, backtracks = 1, tol = 0.0006413473872472699
Iteration 193: loglikelihood = -176288.37340086902, backtracks = 1, tol = 0.0006400998382498785
Iteration 194: loglikelihood = -176286.30641668, backtracks = 1, tol = 0.0006388556253200817
Iteration 195: loglikelihood = -176284.2463333637, backtracks = 1, tol = 0.0006376147379159241
Iteration 196: loglikelihood = -176282.1931268733, backtracks = 1, tol = 0.0006363771654235129
Iteration 197: loglikelihood = -176280.14677325598, backtracks = 1, tol = 0.0006351428971690049
Iteration 198: loglikelihood = -176278.10724865532, backtracks = 1, tol = 0.0006339119224291557
Iteration 199: loglikelihood = -176276.0745293087, backtracks = 1, tol = 0.0006326842304410373
Iteration 200: loglikelihood = -176274.04859154706, backtracks = 1, tol = 0.0006314598104108718
Iteration 201: loglikelihood = -176272.02941179657, backtracks = 1, tol = 0.0006302386515216034
Iteration 202: loglikelihood = -176270.01696657133, backtracks = 1, tol = 0.0006290207429400962
Iteration 203: loglikelihood = -176268.01123247977, backtracks = 1, tol = 0.0006278060738233868
Iteration 204: loglikelihood = -176266.0121862202, backtracks = 1, tol = 0.0006265946333246116
Iteration 205: loglikelihood = -176264.0198045803, backtracks = 1, tol = 0.0006253864105977816
Iteration 206: loglikelihood = -176262.03406443834, backtracks = 1, tol = 0.0006241813948025704
Iteration 207: loglikelihood = -176260.05494275992, backtracks = 1, tol = 0.0006229795751085206
Iteration 208: loglikelihood = -176258.08241659898, backtracks = 1, tol = 0.0006217809406986087
Iteration 209: loglikelihood = -176256.1164630988, backtracks = 1, tol = 0.0006205854807726114
Iteration 210: loglikelihood = -176254.15705948643, backtracks = 1, tol = 0.0006193931845501535
Iteration 211: loglikelihood = -176252.2041830768, backtracks = 1, tol = 0.000618204041273449
Iteration 212: loglikelihood = -176250.25781127077, backtracks = 1, tol = 0.0006170180402093262
Iteration 213: loglikelihood = -176248.3179215541, backtracks = 1, tol = 0.0006158351706518912
Iteration 214: loglikelihood = -176246.38449149518, backtracks = 1, tol = 0.0006146554219240439
Iteration 215: loglikelihood = -176244.4574987499, backtracks = 1, tol = 0.0006134787833793679
Iteration 216: loglikelihood = -176242.53692105415, backtracks = 1, tol = 0.0006123052444035074
Iteration 217: loglikelihood = -176240.62273622933, backtracks = 1, tol = 0.0006111347944156839
Iteration 218: loglikelihood = -176238.7149221777, backtracks = 1, tol = 0.000609967422869681
